=== EFFECTIVE RECORD OFFSET ACCESS MAP ===
offset=0x40 count=26
  ref=0x0203a7ac literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0203a7b4 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x02041598 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x020415a0 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x020415d8 literal=0x02179f68 base_offset=0x48 dst=r3 -> access=0x020415e0 ldrsb r2, [r3, r2] disp=+0x0
  ref=0x02053e74 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x02053e7c ldrsb r0, [r0, r4] disp=+0x0
  ref=0x0208be00 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0208be38 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x0208be70 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0208be80 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x0208bec0 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208becc ldrsb r0, [r0, r2] disp=+0x0
  ref=0x0208bf1c literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208bf28 ldrsb r0, [r0, r2] disp=+0x0
  ref=0x0208c704 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0208c714 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x0208c74c literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0208c75c ldrsb r0, [r1, r0] disp=+0x0
  ref=0x0208c79c literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208c7a8 ldrsb r0, [r0, r2] disp=+0x0
  ref=0x0208c7f8 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208c804 ldrsb r0, [r0, r2] disp=+0x0
  ref=0x0208cb48 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0208cb58 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x0208cba8 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208cbac ldrsb r0, [r0, r1] disp=+0x0
  ref=0x0208cc80 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0208cc90 ldrsb r1, [r1, r0] disp=+0x0
  ref=0x0208ccc4 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208ccc8 ldrsb r1, [r0, r1] disp=+0x0
  ref=0x0208e118 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208e124 ldrsb r1, [r0, r1] disp=+0x0
  ref=0x0208e118 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208e154 ldrsb r1, [r0, r2] disp=+0x0
  ref=0x0208e194 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208e1a0 ldrsb r6, [r0, r5] disp=+0x0
  ref=0x0208e194 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208e1d0 ldrsb r1, [r0, r3] disp=+0x0
  ref=0x0208e518 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208e524 ldrsb r1, [r0, r1] disp=+0x0
  ref=0x0208e518 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208e554 ldrsb r1, [r0, r2] disp=+0x0
  ref=0x0208e594 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208e5a0 ldrsb r6, [r0, r5] disp=+0x0
  ref=0x0208e594 literal=0x02179f68 base_offset=0x48 dst=r0 -> access=0x0208e5d0 ldrsb r1, [r0, r3] disp=+0x0
  ref=0x0208ece4 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0208ece8 ldrsb r3, [r1, r3] disp=+0x0
  ref=0x0208ed14 literal=0x02179f68 base_offset=0x48 dst=r2 -> access=0x0208ed1c ldrsb r1, [r2, r1] disp=+0x0
  ref=0x0209c6c0 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x0209c6c4 ldrsb r1, [r1, r3] disp=+0x0
  ref=0x020b7220 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x020b7228 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x020b72b0 literal=0x02179f68 base_offset=0x48 dst=r1 -> access=0x020b72b8 ldrsb r0, [r1, r0] disp=+0x0
  ref=0x020b8ed0 literal=0x02179f68 base_offset=0x48 dst=r2 -> access=0x020b8ed8 ldrsb r3, [r2, r0] disp=+0x0
  ref=0x020c4210 literal=0x02179f68 base_offset=0x48 dst=r3 -> access=0x020c4218 ldrsb r5, [r3, r4] disp=+0x0
offset=0x4c count=5
  ref=0x02046f90 literal=0x02179f6c base_offset=0x4c dst=r1 -> access=0x02046fa4 ldrsh r1, [r1, r3] disp=+0x0
  ref=0x02052cfc literal=0x02179f6c base_offset=0x4c dst=r0 -> access=0x02052d04 ldrsh r0, [r0, r2] disp=+0x0
